Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-10-26T12:12:24-0700, -72 ft, 2.1639
2023-10-26T12:12:24-0700, -75 ft, 2.202
2023-10-26T12:12:24-0700, -79 ft, 2.2635
2023-10-26T12:12:24-0700, -82 ft, 2.3236
2023-10-26T12:12:24-0700, -85 ft, 2.3659
2023-10-26T12:12:24-0700, -89 ft, 2.3855
2023-10-26T12:12:24-0700, -92 ft, 2.3964
2023-10-26T12:12:24-0700, -7 ft, 8.7575
2023-10-26T12:12:24-0700, -10 ft, 8.5319
2023-10-26T12:12:24-0700, -13 ft, 8.0133
2023-10-26T12:12:24-0700, -16 ft, 6.8292
2023-10-26T12:12:24-0700, -20 ft, 4.9789
2023-10-26T12:12:24-0700, -23 ft, 3.3386
2023-10-26T12:12:24-0700, -26 ft, 2.4105
2023-10-26T12:12:24-0700, -30 ft, 2.0593
2023-10-27T12:12:24-0700, -33 ft, 1.9962
2023-10-27T12:12:24-0700, -36 ft, 1.9245
2023-10-27T12:12:24-0700, -39 ft, 1.899
2023-10-27T12:12:24-0700, -43 ft, 1.8684
2023-10-27T12:12:24-0700, -46 ft, 1.8392
2023-10-27T12:12:24-0700, -49 ft, 1.8777
2023-10-27T12:12:24-0700, -52 ft, 1.9331
2023-10-27T12:12:24-0700, -56 ft, 1.9583
2023-10-27T12:12:24-0700, -59 ft, 1.9933
2023-10-27T12:12:24-0700, -62 ft, 2.0388
2023-10-27T12:12:24-0700, -3 ft, 8.6235
2023-10-27T12:12:24-0700, -66 ft, 2.081
2023-10-27T12:12:24-0700, -69 ft, 2.1375
2023-10-27T12:12:24-0700, -72 ft, 2.2115
2023-10-27T12:12:24-0700, -75 ft, 2.25
2023-10-27T12:12:24-0700, -79 ft, 2.2639
2023-10-27T12:12:24-0700, -82 ft, 2.3013
2023-10-27T12:12:24-0700, -85 ft, 2.3569
2023-10-27T12:12:24-0700, -89 ft, 2.3948
2023-10-27T12:12:24-0700, -92 ft, 2.4114
2023-10-27T12:12:24-0700, -7 ft, 8.6536
2023-10-27T12:12:24-0700, -10 ft, 8.5639
2023-10-27T12:12:24-0700, -13 ft, 8.2456
2023-10-27T12:12:24-0700, -16 ft, 7.5429
2023-10-27T12:12:24-0700, -20 ft, 6.2048
2023-10-27T12:12:24-0700, -23 ft, 4.4364
2023-10-27T12:12:24-0700, -26 ft, 2.9561
2023-10-27T12:12:24-0700, -30 ft, 2.2312
2023-10-29T12:11:19-0700, -33 ft, 1.4319
2023-10-29T12:11:19-0700, -36 ft, 1.4775
2023-10-29T12:11:19-0700, -39 ft, 1.5825
2023-10-29T12:11:19-0700, -43 ft, 1.6734
2023-10-29T12:11:19-0700, -46 ft, 1.7281
2023-10-29T12:11:19-0700, -49 ft, 1.7679
2023-10-29T12:11:19-0700, -52 ft, 1.8307
2023-10-29T12:11:19-0700, -56 ft, 1.9027
2023-10-29T12:11:19-0700, -59 ft, 1.9599
2023-10-29T12:11:19-0700, -62 ft, 2.0114
2023-10-29T12:11:19-0700, -3 ft, 8.6233
2023-10-29T12:11:19-0700, -66 ft, 2.0674
2023-10-29T12:11:19-0700, -69 ft, 2.1137
2023-10-29T12:11:19-0700, -72 ft, 2.1501
2023-10-29T12:11:19-0700, -75 ft, 2.192
2023-10-29T12:11:19-0700, -79 ft, 2.2542
2023-10-29T12:11:19-0700, -82 ft, 2.2832
2023-10-29T12:11:19-0700, -85 ft, 2.2925
2023-10-29T12:11:19-0700, -89 ft, 2.3047
2023-10-29T12:11:19-0700, -92 ft, 2.3083
2023-10-29T12:11:19-0700, -7 ft, 8.4051
2023-10-29T12:11:19-0700, -10 ft, 7.7108
2023-10-29T12:11:19-0700, -13 ft, 6.2579
2023-10-29T12:11:19-0700, -16 ft, 4.5973
2023-10-29T12:11:19-0700, -20 ft, 3.2566
2023-10-29T12:11:19-0700, -23 ft, 2.3631
2023-10-29T12:11:19-0700, -26 ft, 1.828
2023-10-29T12:11:19-0700, -30 ft, 1.5442
2023-10-30T12:11:18-0700, -33 ft, 1.941
2023-10-30T12:11:18-0700, -36 ft, 1.8814
2023-10-30T12:11:18-0700, -39 ft, 1.835
2023-10-30T12:11:18-0700, -43 ft, 1.8006
2023-10-30T12:11:18-0700, -46 ft, 1.7803
2023-10-30T12:11:18-0700, -49 ft, 1.7943
2023-10-30T12:11:18-0700, -52 ft, 1.8628
2023-10-30T12:11:18-0700, -56 ft, 1.9366
2023-10-30T12:11:18-0700, -59 ft, 1.9865
2023-10-30T12:11:18-0700, -62 ft, 2.0438
2023-10-30T12:11:18-0700, -3 ft, 8.6942
2023-10-30T12:11:18-0700, -66 ft, 2.0961
2023-10-30T12:11:18-0700, -69 ft, 2.1368
2023-10-30T12:11:18-0700, -72 ft, 2.1639
2023-10-30T12:11:18-0700, -75 ft, 2.202
2023-10-30T12:11:18-0700, -79 ft, 2.2635
2023-10-30T12:11:18-0700, -82 ft, 2.3236
2023-10-30T12:11:18-0700, -85 ft, 2.3659
2023-10-30T12:11:18-0700, -89 ft, 2.3855
2023-10-30T12:11:18-0700, -92 ft, 2.3964
2023-10-30T12:11:18-0700, -7 ft, 8.7575
2023-10-30T12:11:18-0700, -10 ft, 8.5319
2023-10-30T12:11:18-0700, -13 ft, 8.0133
2023-10-30T12:11:18-0700, -16 ft, 6.8292
2023-10-30T12:11:18-0700, -20 ft, 4.9789
2023-10-30T12:11:18-0700, -23 ft, 3.3386
2023-10-30T12:11:18-0700, -26 ft, 2.4105
2023-10-30T12:11:18-0700, -30 ft, 2.0593
2023-10-31T12:12:12-0700, -33 ft, 1.9962
2023-10-31T12:12:12-0700, -36 ft, 1.9245
2023-10-31T12:12:12-0700, -39 ft, 1.899
2023-10-31T12:12:12-0700, -43 ft, 1.8684
2023-10-31T12:12:12-0700, -46 ft, 1.8392
2023-10-31T12:12:12-0700, -49 ft, 1.8777
2023-10-31T12:12:12-0700, -52 ft, 1.9331
2023-10-31T12:12:12-0700, -56 ft, 1.9583
2023-10-31T12:12:12-0700, -59 ft, 1.9933
2023-10-31T12:12:12-0700, -62 ft, 2.0388
2023-10-31T12:12:12-0700, -3 ft, 8.6235
2023-10-31T12:12:12-0700, -66 ft, 2.081
2023-10-31T12:12:12-0700, -69 ft, 2.1375
2023-10-31T12:12:12-0700, -72 ft, 2.2115
2023-10-31T12:12:12-0700, -75 ft, 2.25
2023-10-31T12:12:12-0700, -79 ft, 2.2639
2023-10-31T12:12:12-0700, -82 ft, 2.3013
2023-10-31T12:12:12-0700, -85 ft, 2.3569
2023-10-31T12:12:12-0700, -89 ft, 2.3948
2023-10-31T12:12:12-0700, -92 ft, 2.4114
2023-10-31T12:12:12-0700, -7 ft, 8.6536
2023-10-31T12:12:12-0700, -10 ft, 8.5639
2023-10-31T12:12:12-0700, -13 ft, 8.2456
2023-10-31T12:12:12-0700, -16 ft, 7.5429
2023-10-31T12:12:12-0700, -20 ft, 6.2048
2023-10-31T12:12:12-0700, -23 ft, 4.4364
2023-10-31T12:12:12-0700, -26 ft, 2.9561
2023-10-31T12:12:12-0700, -30 ft, 2.2312
2023-11-01T12:12:30-0700, -33 ft, 1.6162
2023-11-01T12:12:30-0700, -36 ft, 1.6567
2023-11-01T12:12:30-0700, -39 ft, 1.7149
2023-11-01T12:12:30-0700, -43 ft, 1.7647
2023-11-01T12:12:30-0700, -46 ft, 1.7945
2023-11-01T12:12:30-0700, -49 ft, 1.8124
2023-11-01T12:12:30-0700, -52 ft, 1.8264
2023-11-01T12:12:30-0700, -56 ft, 1.8424
2023-11-01T12:12:30-0700, -59 ft, 1.8682
2023-11-01T12:12:30-0700, -62 ft, 1.9113
2023-11-01T12:12:30-0700, -3 ft, 8.7766
2023-11-01T12:12:30-0700, -66 ft, 1.9679
2023-11-01T12:12:30-0700, -69 ft, 2.0406
2023-11-01T12:12:30-0700, -72 ft, 2.1063
2023-11-01T12:12:30-0700, -75 ft, 2.1588
2023-11-01T12:12:30-0700, -79 ft, 2.2011
2023-11-01T12:12:30-0700, -82 ft, 2.2337
2023-11-01T12:12:30-0700, -85 ft, 2.2697
2023-11-01T12:12:30-0700, -89 ft, 2.2963
2023-11-01T12:12:30-0700, -92 ft, 2.3027
2023-11-01T12:12:30-0700, -7 ft, 8.6288
2023-11-01T12:12:30-0700, -10 ft, 8.2322
2023-11-01T12:12:30-0700, -13 ft, 7.4058
2023-11-01T12:12:30-0700, -16 ft, 5.7804
2023-11-01T12:12:30-0700, -20 ft, 3.9968
2023-11-01T12:12:30-0700, -23 ft, 2.7239
2023-11-01T12:12:30-0700, -26 ft, 2.0002
2023-11-01T12:12:30-0700, -30 ft, 1.6862
2023-11-02T12:11:26-0700, -33 ft, 1.6969
2023-11-02T12:11:26-0700, -36 ft, 1.5055
2023-11-02T12:11:26-0700, -39 ft, 1.441
2023-11-02T12:11:26-0700, -43 ft, 1.4617
2023-11-02T12:11:26-0700, -46 ft, 1.5204
2023-11-02T12:11:26-0700, -49 ft, 1.5728
2023-11-02T12:11:26-0700, -52 ft, 1.6368
2023-11-02T12:11:26-0700, -56 ft, 1.7653
2023-11-02T12:11:26-0700, -59 ft, 1.8898
2023-11-02T12:11:26-0700, -62 ft, 1.986
2023-11-02T12:11:26-0700, -3 ft, 8.4821
2023-11-02T12:11:26-0700, -66 ft, 2.0842
2023-11-02T12:11:26-0700, -69 ft, 2.1431
2023-11-02T12:11:26-0700, -72 ft, 2.1635
2023-11-02T12:11:26-0700, -75 ft, 2.2024
2023-11-02T12:11:26-0700, -79 ft, 2.2585
2023-11-02T12:11:26-0700, -82 ft, 2.2901
2023-11-02T12:11:26-0700, -85 ft, 2.2953
2023-11-02T12:11:26-0700, -89 ft, 2.3198
2023-11-02T12:11:26-0700, -92 ft, 2.3451
2023-11-02T12:11:26-0700, -7 ft, 8.5109
2023-11-02T12:11:26-0700, -10 ft, 8.4326
2023-11-02T12:11:26-0700, -13 ft, 8.1348
2023-11-02T12:11:26-0700, -16 ft, 7.0893
2023-11-02T12:11:26-0700, -20 ft, 5.6029
2023-11-02T12:11:26-0700, -23 ft, 3.9965
2023-11-02T12:11:26-0700, -26 ft, 2.707
2023-11-02T12:11:26-0700, -30 ft, 2.0413
2023-11-03T12:12:32-0700, -33 ft, 1.4319
2023-11-03T12:12:32-0700, -36 ft, 1.4775
2023-11-03T12:12:32-0700, -39 ft, 1.5825
2023-11-03T12:12:32-0700, -43 ft, 1.6734
2023-11-03T12:12:32-0700, -46 ft, 1.7281
2023-11-03T12:12:32-0700, -49 ft, 1.7679
2023-11-03T12:12:32-0700, -52 ft, 1.8307
2023-11-03T12:12:32-0700, -56 ft, 1.9027
2023-11-03T12:12:32-0700, -59 ft, 1.9599
2023-11-03T12:12:32-0700, -62 ft, 2.0114
2023-11-03T12:12:32-0700, -3 ft, 8.6233
2023-11-03T12:12:32-0700, -66 ft, 2.0674
2023-11-03T12:12:32-0700, -69 ft, 2.1137
2023-11-03T12:12:32-0700, -72 ft, 2.1501
2023-11-03T12:12:32-0700, -75 ft, 2.192
2023-11-03T12:12:32-0700, -79 ft, 2.2542
2023-11-03T12:12:32-0700, -82 ft, 2.2832
2023-11-03T12:12:32-0700, -85 ft, 2.2925
2023-11-03T12:12:32-0700, -89 ft, 2.3047
2023-11-03T12:12:32-0700, -92 ft, 2.3083
2023-11-03T12:12:32-0700, -7 ft, 8.4051
2023-11-03T12:12:32-0700, -10 ft, 7.7108
2023-11-03T12:12:32-0700, -13 ft, 6.2579
2023-11-03T12:12:32-0700, -16 ft, 4.5973
2023-11-03T12:12:32-0700, -20 ft, 3.2566
2023-11-03T12:12:32-0700, -23 ft, 2.3631
2023-11-03T12:12:32-0700, -26 ft, 1.828
2023-11-03T12:12:32-0700, -30 ft, 1.5442
2023-11-04T12:12:46-0700, -33 ft, 1.941
2023-11-04T12:12:46-0700, -36 ft, 1.8814
2023-11-04T12:12:46-0700, -39 ft, 1.835
2023-11-04T12:12:46-0700, -43 ft, 1.8006
2023-11-04T12:12:46-0700, -46 ft, 1.7803
2023-11-04T12:12:46-0700, -49 ft, 1.7943
2023-11-04T12:12:46-0700, -52 ft, 1.8628
2023-11-04T12:12:46-0700, -56 ft, 1.9366
2023-11-04T12:12:46-0700, -59 ft, 1.9865
2023-11-04T12:12:46-0700, -62 ft, 2.0438
2023-11-04T12:12:46-0700, -3 ft, 8.6942
2023-11-04T12:12:46-0700, -66 ft, 2.0961
2023-11-04T12:12:46-0700, -69 ft, 2.1368
2023-11-04T12:12:46-0700, -72 ft, 2.1639
2023-11-04T12:12:46-0700, -75 ft, 2.202
2023-11-04T12:12:46-0700, -79 ft, 2.2635
2023-11-04T12:12:46-0700, -82 ft, 2.3236
2023-11-04T12:12:46-0700, -85 ft, 2.3659
2023-11-04T12:12:46-0700, -89 ft, 2.3855
2023-11-04T12:12:46-0700, -92 ft, 2.3964
2023-11-04T12:12:46-0700, -7 ft, 8.7575
2023-11-04T12:12:46-0700, -10 ft, 8.5319
2023-11-04T12:12:46-0700, -13 ft, 8.0133
2023-11-04T12:12:46-0700, -16 ft, 6.8292
2023-11-04T12:12:46-0700, -20 ft, 4.9789
2023-11-04T12:12:46-0700, -23 ft, 3.3386
2023-11-04T12:12:46-0700, -26 ft, 2.4105
2023-11-04T12:12:46-0700, -30 ft, 2.0593
2023-11-05T13:12:31-0800, -33 ft, 1.9962
2023-11-05T13:12:31-0800, -36 ft, 1.9245
2023-11-05T13:12:31-0800, -39 ft, 1.899
2023-11-05T13:12:31-0800, -43 ft, 1.8684
2023-11-05T13:12:31-0800, -46 ft, 1.8392
2023-11-05T13:12:31-0800, -49 ft, 1.8777
2023-11-05T13:12:31-0800, -52 ft, 1.9331
2023-11-05T13:12:31-0800, -56 ft, 1.9583
2023-11-05T13:12:31-0800, -59 ft, 1.9933
2023-11-05T13:12:31-0800, -62 ft, 2.0388
2023-11-05T13:12:31-0800, -3 ft, 8.6235
2023-11-05T13:12:31-0800, -66 ft, 2.081
2023-11-05T13:12:31-0800, -69 ft, 2.1375
2023-11-05T13:12:31-0800, -72 ft, 2.2115
2023-11-05T13:12:31-0800, -75 ft, 2.25
2023-11-05T13:12:31-0800, -79 ft, 2.2639
2023-11-05T13:12:31-0800, -82 ft, 2.3013
2023-11-05T13:12:31-0800, -85 ft, 2.3569
2023-11-05T13:12:31-0800, -89 ft, 2.3948
2023-11-05T13:12:31-0800, -92 ft, 2.4114
2023-11-05T13:12:31-0800, -7 ft, 8.6536
2023-11-05T13:12:31-0800, -10 ft, 8.5639
2023-11-05T13:12:31-0800, -13 ft, 8.2456
2023-11-05T13:12:31-0800, -16 ft, 7.5429
2023-11-05T13:12:31-0800, -20 ft, 6.2048
2023-11-05T13:12:31-0800, -23 ft, 4.4364
2023-11-05T13:12:31-0800, -26 ft, 2.9561
2023-11-05T13:12:31-0800, -30 ft, 2.2312
2023-11-06T13:12:30-0800, -33 ft, 1.9962
2023-11-06T13:12:30-0800, -36 ft, 1.9245
2023-11-06T13:12:30-0800, -39 ft, 1.899
2023-11-06T13:12:30-0800, -43 ft, 1.8684
2023-11-06T13:12:30-0800, -46 ft, 1.8392
2023-11-06T13:12:30-0800, -49 ft, 1.8777
2023-11-06T13:12:30-0800, -52 ft, 1.9331
2023-11-06T13:12:30-0800, -56 ft, 1.9583
2023-11-06T13:12:30-0800, -59 ft, 1.9933
2023-11-06T13:12:30-0800, -62 ft, 2.0388
2023-11-06T13:12:30-0800, -3 ft, 8.6235
2023-11-06T13:12:30-0800, -66 ft, 2.081
2023-11-06T13:12:30-0800, -69 ft, 2.1375
2023-11-06T13:12:30-0800, -72 ft, 2.2115
2023-11-06T13:12:30-0800, -75 ft, 2.25
2023-11-06T13:12:30-0800, -79 ft, 2.2639
2023-11-06T13:12:30-0800, -82 ft, 2.3013
2023-11-06T13:12:30-0800, -85 ft, 2.3569
2023-11-06T13:12:30-0800, -89 ft, 2.3948
2023-11-06T13:12:30-0800, -92 ft, 2.4114
2023-11-06T13:12:30-0800, -7 ft, 8.6536
2023-11-06T13:12:30-0800, -10 ft, 8.5639
2023-11-06T13:12:30-0800, -13 ft, 8.2456
2023-11-06T13:12:30-0800, -16 ft, 7.5429
2023-11-06T13:12:30-0800, -20 ft, 6.2048
2023-11-06T13:12:30-0800, -23 ft, 4.4364
2023-11-06T13:12:30-0800, -26 ft, 2.9561
2023-11-06T13:12:30-0800, -30 ft, 2.2312
